ID_W,DATA,CZAS_T0_UTC,Mw,Lat,Lon
20240427.062239.53,27.04.2024,06:22:39.53,"2,59","50,1768","19,34"
20240427.063657.93,27.04.2024,06:36:57.93,"2,46","50,0909","19,1988"
20240427.075248.70,27.04.2024,07:52:48.70,"2,46","50,1925","18,7977"
20240427.094428.41,27.04.2024,09:44:28.41,"1,97","50,0313","18,5207"
20240427.122054.17,27.04.2024,12:20:54.17,"2,66","50,2017","19,0765"
20240427.190035.22,27.04.2024,19:00:35.22,"2,98","50,2014","19,0765"
20240428.033248.77,28.04.2024,03:32:48.77,"2,76","50,1038","19,3533"
20240428.053109.68,28.04.2024,05:31:09.68,"2,8","50,0912","19,2067"
20240428.054344.31,28.04.2024,05:43:44.31,"2,67","50,1133","19,115"
20240428.063502.37,28.04.2024,06:35:02.37,"2,91","50,0917","19,2071"
20240428.100113.49,28.04.2024,10:01:13.49,"2,34","50,0911","19,1983"
20240428.111722.12,28.04.2024,11:17:22.12,"2,35","50,3511","18,8442"
20240429.033445.21,29.04.2024,03:34:45.21,"2,58","50,2041","19,0815"
20240429.152233.34,29.04.2024,15:22:33.34,"2,77","50,0906","19,1991"
20240430.035520.09,30.04.2024,03:55:20.09,"2,15","50,0824","18,4592"
20240430.064917.18,30.04.2024,06:49:17.18,"2,35","50,0911","19,2088"
20240430.075052.34,30.04.2024,07:50:52.34,"2,39","50,1933","18,796"
20240430.080351.72,30.04.2024,08:03:51.72,"2,39","50,1928","18,7973"
20240430.142220.95,30.04.2024,14:22:20.95,"2,94","50,2013","19,0761"
20240430.195906.93,30.04.2024,19:59:06.93,"3,08","50,0909","19,2063"
20240430.200314.19,30.04.2024,20:03:14.19,"2,73","50,2015","19,0747"
20240430.215845.59,30.04.2024,21:58:45.59,"2,48","50,1767","19,3406"
20240501.014223.71,01.05.2024,01:42:23.71,"2,94","50,0619","18,4652"
20240501.054713.63,01.05.2024,05:47:13.63,"2,63","50,1805","18,7406"
20240501.095937.02,01.05.2024,09:59:37.02,"2,76","50,1962","18,6931"
20240501.125903.21,01.05.2024,12:59:03.21,"2,4","50,1936","18,7959"
20240502.152303.38,02.05.2024,15:23:03.38,"2,41","50,1935","18,796"
20240503.000016.59,03.05.2024,00:00:16.59,"2,77","50,2009","19,0743"
20240503.041843.40,03.05.2024,04:18:43.40,"2,62","50,0916","19,2072"
20240503.185431.24,03.05.2024,18:54:31.24,"2,22","50,2068","19,0847"
20240506.124645.14,06.05.2024,12:46:45.14,"2,55","50,177","19,3398"
20240506.180034.99,06.05.2024,18:00:34.99,"2,29","50,1759","19,3415"
20240507.073112.02,07.05.2024,07:31:12.02,"2,76","50,2282","18,8167"
20240507.081004.72,07.05.2024,08:10:04.72,"2,84","50,0915","19,2089"
20240507.084021.55,07.05.2024,08:40:21.55,"2,05","50,0619","18,4467"
20240507.090622.01,07.05.2024,09:06:22.01,"2,62","50,2331","18,8491"
20240507.114524.10,07.05.2024,11:45:24.10,"2,78","50,201","19,0768"
20240507.120100.07,07.05.2024,12:01:00.07,"2,78","50,0914","19,2061"
